province,prov_id,cons_id,cons_no,zones,registered_voters,ref_turnout,ref_turnout_pct,ref_valid,ref_valid_pct,ref_invalid,ref_invalid_pct,yes_votes,yes_pct,no_votes,no_pct,abstained,abstained_pct,counted_stations,count_pct
ลพบุรี,LRI,LRI_4,4,"อำเภอพัฒนานิคม, อำเภอชัยบาดาล (ยกเว้นชัยนารายณ์ ศิลาทิพย์ ห้วยหิน ม่วงค่อม มะกอกหวาน นิคมลำนารายณ์ บ้านใหม่สามัคคี), อำเภอท่าหลวง, อำเภอลำสนธิ",149394,106195,71.08,102672,96.68,3523,3.32,60799,59.22,31647,30.82,10226,9.96,265,94.98
สิงห์บุรี,SBR,SBR_1,1,"อำเภอเมืองสิงห์บุรี, อำเภอบางระจัน, อำเภอค่ายบางระจัน, อำเภอพรหมบุรี, อำเภอท่าช้าง, อำเภออินทร์บุรี",167173,116868,69.91,113472,97.09,3396,2.91,61904,54.55,38794,34.19,12774,11.26,314,94.86
ชัยนาท,CNT,CNT_1,1,"อำเภอเมืองชัยนาท, อำเภอมโนรมย์, อำเภอวัดสิงห์ (ยกเว้นบ่อแร่ วังหมัน), อำเภอสรรพยา",131155,85612,65.28,83057,97.02,2555,2.98,44818,53.96,28116,33.85,10123,12.19,239,94.84
ชัยนาท,CNT,CNT_2,2,"อำเภอวัดสิงห์ (เฉพาะบ่อแร่ วังหมัน), อำเภอสรรคบุรี, อำเภอหันคา, อำเภอหนองมะโมง, อำเภอเนินขาม",130424,85553,65.6,82164,96.04,3389,3.96,45909,55.87,25980,31.62,10275,12.51,247,95
สระบุรี,SRI,SRI_1,1,"อำเภอเมืองสระบุรี (ยกเว้นหนองโน), อำเภอแก่งคอย (เฉพาะห้วยแห้ง), อำเภอเฉลิมพระเกียรติ (เฉพาะเขาดินพัฒนา บ้านแก้ง ผึ้งรวง พุแค ห้วยบง หน้าพระลาน)",128124,88818,69.32,86563,97.46,2255,2.54,52258,60.37,26158,30.22,8147,9.41,205,94.91
สระบุรี,SRI,SRI_2,2,"อำเภอแก่งคอย (ยกเว้นห้วยแห้ง), อำเภอมวกเหล็ก, อำเภอวังม่วง",136691,98095,71.76,95258,97.11,2837,2.89,59052,61.99,26885,28.22,9321,9.79,229,94.63
สระบุรี,SRI,SRI_3,3,"อำเภอเมืองสระบุรี (เฉพาะหนองโน), อำเภอหนองแค, อำเภอวิหารแดง, อำเภอหนองแซง",125851,72872,57.9,70950,97.36,1922,2.64,43831,61.78,19994,28.18,7125,10.04,195,94.66
สระบุรี,SRI,SRI_4,4,"อำเภอบ้านหมอ, อำเภอดอนพุด, อำเภอหนองโดน, อำเภอพระพุทธบาท, อำเภอเสาไห้",128318,93291,72.7,90558,97.07,2733,2.93,54334,60.0,26448,29.21,9776,10.8,220,94.83
ชลบุรี,CBI,CBI_1,1,อำเภอเมืองชลบุรี (เฉพาะหนองรี หนองข้างคอก เหมือง เสม็ด ห้วยกะปิ บ้านปึก อ่างศิลา แสนสุข),133544,111440,83.45,109613,98.36,1827,1.64,72384,66.04,30806,28.1,6423,5.86,161,94.71
ชลบุรี,CBI,CBI_2,2,อำเภอเมืองชลบุรี (เฉพาะนาป่า บ้านสวน บางทราย บางปลาสร้อย มะขามหย่ง บ้านโขด),113941,76145,66.83,74772,98.2,1373,1.8,44433,59.42,25024,33.47,5315,7.11,124,94.66
ชลบุรี,CBI,CBI_3,3,"อำเภอเมืองชลบุรี (เฉพาะคลองตำหรุ สำนักบก ดอนหัวฬ่อ หนองไม้แดง), อำเภอบ้านบึง (ยกเว้นบ้านบึง คลองกิ่ว หนองอิรุณ หนองไผ่แก้ว), อำเภอพานทอง",127184,92422,72.67,90348,97.76,2074,2.24,57943,64.13,24786,27.43,7619,8.43,168,94.92
